NVT Name,Summary,Vulnerability Insight,Impact,target,id
"PHP 5.4.x < 5.4.40, 5.5.x < 5.5.22, 5.6.x < 5.6.6 RCE Vulnerability (Jul 2015) - Linux","PHP is prone to a remote code execution (RCE)
  vulnerability.","The flaw is due to Use-after-free vulnerability in the
  'phar_rename_archive' function in 'phar_object.c' script","Successfully exploiting this issue allow remote attackers to
  execute arbitrary code on the target system.",High,28d123f8-e62d-4606-9929-40c7bcfc5bd3
Hostname Determination Reporting,"The script reports information on how the hostname of the target
  was determined.",,,Log,21a5cd4f-544f-481f-8798-95a94f106739
Nginx 1.5.13 - 1.27.0 Buffer Overread Vulnerability,"Nginx is prone to a buffer overread in the
  ngx_http_mp4_module.","The product has a vulnerability in the ngx_http_mp4_module,
  which might allow an attacker to over-read worker memory resulting in its termination, using a
  specially crafted mp4 file. The issue only affects the product if it is built with the
  ngx_http_mp4_module and the mp4 directive is used in the configuration file. Additionally, the
  attack is possible only if an attacker can trigger the processing of a specially crafted mp4 file
  with the ngx_http_mp4_module.","Traffic is disrupted while the worker process restarts. This
  vulnerability allows a local, authenticated attacker to cause a denial-of-service (DoS).",Medium,f3a316b2-d349-4413-952f-78de0a4b0092
"PHP < 5.3.29, 5.4.x < 5.4.30, 5.5.x < 5.5.14 Multiple Vulnerabilities (Jun/Aug 2014) - Linux",PHP is prone to multiple vulnerabilities.,"The following vulnerabilities exist:

  - CVE-2014-3981: Insecure temporary file use in the configure script

  - CVE-2014-4721: phpinfo() Type Confusion Information Leak Vulnerability

  - CVE-2014-0207: cdf_read_short_sector insufficient boundary check

  - CVE-2014-3478: mconvert incorrect handling of truncated pascal string size

  - CVE-2014-3479: cdf_check_stream_offset insufficient boundary check

  - CVE-2014-3480: cdf_count_chain insufficient boundary check

  - CVE-2014-3487: cdf_read_property_info insufficient boundary check

  - CVE-2014-4049: Fix potential segfault in dns_get_record()

  - CVE-2014-3515: unserialize() SPL ArrayObject / SPLObjectStorage Type Confusion

  - CVE-2014-9912: Buffer overflow in locale_get_display_name and uloc_getDisplayName (libicu
  4.8.1)",,Critical,ff76077d-d2e4-4bb1-b66b-5700979f548b
IP Forwarding Enabled - Active Check,Checks if the remote host has IP forwarding enabled.,,,Log,d27efbc6-344d-4e12-86cc-20ee836f3e94
"PHP < 5.4.39, 5.5.x < 5.5.23, 5.6.x < 5.6.7 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"The following flaws exist:

  - 'do_soap_call' function in ext/soap/soap.c script in PHP does not verify that the uri property
  is a string.

  - 'SoapClient::__call' method in ext/soap/soap.c script in PHP does not verify that
  __default_headers is an array.

  - use-after-free error related to the 'unserialize' function when using DateInterval input.

  - a flaw in the 'move_uploaded_file' function that is triggered when handling NULL bytes.

  - an integer overflow condition in the '_zip_cdir_new' function in 'zip_dirent.c' script.","Successfully exploiting these issues allow remote attackers to
  obtain sensitive information by providing crafted serialized data with an int data type and to
  execute arbitrary code by providing crafted serialized data with an unexpected data type.",High,fb3747be-5021-4147-99e9-516b9ace59da
PHP CVE-2019-13224 Use-After-Free Vulnerability - Linux,"PHP is prone to a use-after-free vulnerability in a used
  third-pary library.","The flaw exists due to a use-after-free in onig_new_deluxe()
  in regext.c of the third-party library Oniguruma 6.9.2 which is used by PHP.

  The attacker provides a pair of a regex pattern and a string, with a multi-byte encoding that gets
  handled by onig_new_deluxe().","This flaw allows attackers to potentially cause information
  disclosure, denial of service, or possibly code execution by providing a crafted regular
  expression.",Critical,274bd73d-2eef-4f47-9cbf-2d1e38f7ee5a
Redis <= 4.0.2 Buffer Overflow Vulnerability,Redis is prone to a buffer overflow vulnerability.,"The clusterLoadConfig function within /redis/src/cluster.c
  allows for a buffer overflow vulnerability leading from an array index being set from
  user-controllable input.","A successful exploitation would allow the attacker to corrupt the
  host's memory or even execute arbitrary commands on the host.",Critical,4f588b13-563f-4fca-aad7-437cf17deb56
Samba < 3.5.11 client/mount.cifs.c Remote DoS Vulnerability,Samba is prone to a remote denial-of-service vulnerability.,,"A remote attacker can exploit this issue to crash the affected
  application, denying service to legitimate users.",Low,c1849a04-dcc7-472b-914e-82071ccd1537
OpenSSH < 7.2 X11 Forwarding Security Bypass Vulnerability - Linux,OpenSSH is prone to a security bypass vulnerability.,"An access flaw was discovered in OpenSSH, it did not correctly
  handle failures to generate authentication cookies for untrusted X11 forwarding. A malicious or
  compromised remote X application could possibly use this flaw to establish a trusted connection to
  the local X server, even if only untrusted X11 forwarding was requested.","Successfully exploiting this issue allows local users to bypass
  certain security restrictions and perform unauthorized actions. This may lead to further
  attacks.",Critical,2895051b-c450-446d-a3ef-684b8d2ec6ef
PHP < 5.6.26 DoS Vulnerability - Linux,PHP is prone to a denial of service (DoS) vulnerability.,"The flaw is due to improper handling of object-deserialization
  failures in 'ext/standard/var_unserializer.re' script.","Successfully exploiting this issue allow remote attackers to
  cause a denial of service.",Critical,ba00eab7-a5d0-4ec3-9be6-bb92c35cd0fe
Elastic Elasticsearch Security < 5.6.15 / 6.x < 6.6.1 Permission Issue (ESA-2019-04),Elasticsearch Security is prone to a permission issue.,"A permission issue was found in Elasticsearch when Field Level Security
  and Document Level Security are disabled and the _aliases, _shrink, or _split endpoints are used. If the
  elasticsearch.yml file has xpack.security.dls_fls.enabled set to false, certain permission checks are
  skipped when users perform one of the actions mentioned above, to make existing data available under a new
  index/alias name.","This flaw could result in an attacker gaining additional permissions against
  a restricted index.",High,52a31ee0-7827-4176-ae4f-6d6b01b56a3b
TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.",Low,7b9bf231-7093-4fb4-aa7d-807b5dd2252c
Apache HTTP Server CRLF Injection Vulnerability (Dec 2016) - Linux,Apache HTTP Server is prone to a CRLF injection vulnerability.,"Possible CRLF injection allowing HTTP response splitting
  attacks for sites which use mod_userdir. This issue was mitigated to prohibit CR or LF injection
  into the 'Location' or other outbound header key or value.",,Medium,0f178d15-8919-426e-8be5-16e1ae5339f1
ISC BIND DoS Vulnerability (CVE-2023-4408) - Linux,ISC BIND is prone to a denial of service (DoS) vulnerability.,"The DNS message parsing code in named includes a section whose
  computational complexity is overly high. It does not cause problems for typical DNS traffic, but
  crafted queries and responses may cause excessive CPU load on the affected named instance by
  exploiting this flaw. This issue affects both authoritative servers and recursive resolvers.","By flooding the target server with queries exploiting this flaw
  an attacker can significantly impair the server's performance, effectively denying legitimate
  clients access to the DNS resolution service.",High,5893b1c0-349d-44f7-baff-3fda205bac27
SSL/TLS: HTTP Strict Transport Security (HSTS) Missing,"The remote web server is not enforcing HTTP Strict Transport
  Security (HSTS).",,,Log,39e59a51-c48f-4a83-b5a6-955c14f93dbb
SSL/TLS: `preload` Missing in HSTS Header,"The remote web server is missing the 'preload' attribute in the
  HTTP Strict Transport Security (HSTS) header.",,,Log,5f23e4ae-776d-4c08-80af-dced0227fa80
Apache HTTP Server 2.4.7 - 2.4.51 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"A crafted URI sent to httpd configured as a forward proxy
  (ProxyRequests on) can cause a crash (NULL pointer dereference) or, for configurations mixing
  forward and reverse proxy declarations, can allow for requests to be directed to a declared Unix
  Domain Socket endpoint (Server Side Request Forgery).",,High,8046eb87-d2cc-4965-919f-9cb7d5bb6746
Oracle MySQL Server <= 5.5.51 Security Update (cpuoct2016) - Linux,Oracle MySQL Server is prone to an unspecified vulnerability.,"The flaw exists due to an unspecified error within the
  'Server:DML' component.","Successful exploitation of this vulnerability will allow a
  remote authenticated user to cause denial of service conditions.",Medium,08ebfd5b-2cf4-4ac5-8e24-4e2b1d25d52d
SSH Protocol Algorithms Supported,"This script detects which algorithms are supported by the remote
  SSH service.",,,Log,15b9f7b5-8848-4dc4-860d-0d515dd2b029
"Squid DoS Vulnerability (GHSA-jm7h-w5q5-jpq9, SQUID-2020:13)",Squid is prone to a denial of service (DoS) vulnerability.,"This problem allows a remote gopher: server to trigger a buffer
  overflow by delivering large gopher protocol responses. On most operating systems with memory
  protection this will halt Squid service immediately, causing a denial of service to all Squid
  clients.

  The gopher protocol is always available and enabled in Squid prior to Squid 6.0.1.",,High,4ca1d137-8ae3-49b5-905d-2f0eca699140
Services,This plugin performs service detection.,"This plugin attempts to guess which service is running on the
  remote port(s). For instance, it searches for a web server which could listen on another port than
  80 or 443 and makes this information available for other check routines.",,Log,15b62435-4369-441f-bc33-c7a681ea28ab
Apache HTTP Server < 2.4.38 mod_session_cookie Vulnerability - Linux,"In Apache HTTP Server mod_session checks the session expiry time before
  decoding the session. This causes session expiry time to be ignored for mod_session_cookie sessions since the
  expiry time is loaded when the session is decoded.",,,High,a172f0a8-6984-4da9-bb69-199ce1864a6c
"PHP < 5.5.31, 5.6.x < 5.6.17, 7.x < 7.0.2 DoS Vulnerability (Aug 2016) - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"The flaw is due to the 'sapi/fpm/fpm/fpm_log.c' script
  misinterprets the semantics of the snprintf return value.","Successfully exploiting this issue allow attackers to obtain
  sensitive information from process memory or cause a denial of service (out-of-bounds read and
  buffer overflow) via a long string.",Critical,7d317779-2e78-41d5-a7f3-92bd3212bd18
Grafana < 6.2.5 HTML Injection Vulnerability,Grafana is prone to an HTML injection vulnerability.,"public/app/features/panel/panel_ctrl.ts allows HTML Injection
  in panel drilldown links (via the Title or url field).",,Medium,ab8d6895-a570-4974-92b6-a7106f9601a6
MariaDB / Oracle MySQL Detection (MySQL Protocol),MySQL protocol-based detection of MariaDB / Oracle MySQL.,,,Log,2cc35c9d-3d91-464f-b334-f134161875b9
Elastic Elasticsearch DoS Vulnerability (ESA-2021-15),Elasticsearch is prone to a denial of service (DoS) vulnerability.,"An uncontrolled recursion vulnerability that could lead to a
  denial of service attack was identified in the Elasticsearch Grok parser. A user with the ability
  to submit arbitrary queries to Elasticsearch could create a malicious Grok query that will crash
  the Elasticsearch node.",,Medium,ce5e538e-f2cf-4b6f-81a2-a9684c107454
Oracle MySQL Server <= 5.6.50 / 5.7 <= 5.7.32 / 8.0 <= 8.0.22 Security Update (cpujan2021) - Linux,Oracle MySQL Server is prone to multiple vulnerabilities.,,,Medium,529a1684-60a0-4360-841e-63c3097b2178
