id,informacoes_das_colunas,categoria,explicacao,rouge,iteracao,technique_used
349c65a2-d766-4a48-b483-6a9cb294722d,"NVT Name: PHP 5.5.x < 5.5.15 Multiple Use After Free Vulnerabilities (Jul 2014) / Summary: PHP is prone to multiple use after free vulnerabilities. / Vulnerability Insight: An use-after-free error exists in the ext/spl/spl_dllist.c
  file in the SPL component. / Impact: Successful exploitation will allow remote attackers to conduct
  denial of service attacks or possibly have some other unspecified impact.",High,"The described vulnerability is a Use-After-Free error, which can lead to Remote Code Execution (RCE) or Denial of Service attacks. This type of vulnerability allows an attacker to manipulate the affected system's resources, potentially causing significant impact on its availability and integrity. Given the remote exploitation capability and the potential for RCE, the severity level is classified as High.",1.0,1,progressive_hint
af2dc81b-b241-4211-a682-5e21996c8350,"NVT Name: PHP 5.x < 5.4.4 Memory Leak Vulnerability / Summary: PHP is prone to a memory leak vulnerability. / Vulnerability Insight: PHP allows passing invalid utf-8 strings via the
  xmlTextWriterWriteAttribute, which are then misparsed by libxml2. This results in memory leak into
  the resulting output. / Impact: [ausente]",Low,"The PHP 5.x < 5.4.4 Memory Leak Vulnerability causes a memory leak in the output due to misparsing of invalid utf-8 strings via xmlTextWriterWriteAttribute, which is limited in impact as it requires specific input and does not directly affect confidentiality, integrity, or availability. The attack vector involves complex conditions, making it less likely for unauthorized exploitation.",1.0,1,progressive_hint
0edcd46d-96d9-4e80-a997-158de2ba41cf,"NVT Name: CPE Inventory / Summary: This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE. / Vulnerability Insight: [ausente] / Impact: [ausente]",Informational,"The described vulnerability appears to be related to duplicate or outdated CPE entries in the NVD CPE Dictionary, which does not pose a direct security threat. This is more of an informational issue that could lead to confusion rather than a critical or high-severity vulnerability.",1.0,1,progressive_hint
19113fa6-bdda-41a0-9d47-4a9daccf3ee0,"NVT Name: Oracle MySQL Server <= 5.5.51 Security Update (cpuoct2016) - Linux / Summary: Oracle MySQL Server is prone to an unspecified vulnerability. / Vulnerability Insight: The flaw exists due to an unspecified error within the
  'Server:DML' component. / Impact: Successful exploitation of this vulnerability will allow a
  remote authenticated user to cause denial of service conditions.",Medium,"The vulnerability is located within the 'Server:DML' component of Oracle MySQL Server, which could potentially allow a remote authenticated user to cause denial of service conditions. Although the exact nature of the flaw remains unspecified, the fact that it requires authentication and only causes denial of service suggests a medium severity level. The impact is moderate as it does not involve significant data loss or unauthorized access to sensitive information. However, a denial of service can still disrupt services and cause operational issues, making it important to address this vulnerability.",1.0,1,progressive_hint
3069eaec-c3a0-45fc-bd9b-7aad9974df7a,"NVT Name: OS Detection Consolidation and Reporting / Summary: This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum. / Vulnerability Insight: [ausente] / Impact: [ausente]",Informational,"The described script does not appear to pose a direct security threat or vulnerability. It consolidates OS information and potentially improves OS detection, which can be considered diagnostic data or scanner metadata. Therefore, it falls under the Informational severity level according to the CVSSv3 taxonomy.",1.0,1,progressive_hint
254a8ee3-cf9a-4ecf-8a3d-9377e7216dc8,"NVT Name: PHP < 5.6.18, 7.x < 7.0.3 DoS Vulnerability (Jul 2016) - Linux / Summary: PHP is prone to a denial of service (DoS) vulnerability. / Vulnerability Insight: The flaw is due an improper handling of zero-size
  '././@LongLink' files by 'phar_make_dirstream' function in ext/phar/dirstream.c script. / Impact: Successfully exploiting this issue allow remote attackers to
  cause a denial of service (heap memory corruption) or possibly have unspecified other impact.",High,"The vulnerability described is a Denial of Service (DoS) issue in PHP versions below 5.6.18 and 7.x below 7.0.3, which can lead to heap memory corruption. This vulnerability allows remote attackers to potentially cause a denial of service or have unspecified other impacts. Given the remote exploitation capability and the potential for significant impact, it is classified as High severity.",1.0,1,progressive_hint
74c4b3f0-eac6-4941-a7a4-ccc3deeb4637,"NVT Name: jQuery 1.2 < 3.5.0 XSS Vulnerability / Summary: jQuery is prone to a cross-site scripting (XSS) vulnerability in
  jQuery.htmlPrefilter and related methods. / Vulnerability Insight: Passing HTML from untrusted sources - even after sanitizing it -
  to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute
  untrusted code. / Impact: [ausente]",Medium,"The jQuery XSS vulnerability allows untrusted code execution when passing HTML from unverified sources to certain DOM manipulation methods. This could potentially lead to partial unauthorized access, making it a moderate impact vulnerability.",1.0,1,progressive_hint
545c27c7-e8b0-4a08-b064-ac8664187f87,"NVT Name: PHP < 7.2.29 Multiple Vulnerabilities (Mar 2020) - Linux / Summary: PHP is prone to multiple vulnerabilities. / Vulnerability Insight: PHP is prone to multiple vulnerabilities:

  - Use-of-uninitialized-value in exif (CVE-2020-7064)

  - get_headers() silently truncates after a null byte (CVE-2020-7066) / Impact: [ausente]",Medium,"The vulnerabilities CVE-2020-7064 (Use-of-uninitialized-value in exif) and CVE-2020-7066 (get_headers() silently truncates after a null byte) can potentially lead to arbitrary code execution or memory corruption within PHP applications. While the exact impact depends on the specific application and configuration, it is reasonable to assume that these vulnerabilities could allow an attacker to gain partial unauthorized access to the system, which aligns with the Medium severity level in CVSSv3.",1.0,1,progressive_hint
bfa8c31d-a7cf-47c3-9cab-d606b4eaef91,"NVT Name: Elasticsearch End of Life (EOL) Detection / Summary: The Elasticsearch version on the remote host has reached
  the End of Life (EOL) and should not be used anymore. / Vulnerability Insight: [ausente] / Impact: An EOL version of Elasticsearch is not receiving any security
  updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.",Medium,"The Elasticsearch version on the remote host has reached its End of Life (EOL), which means it is no longer receiving security updates from the vendor. Although an attacker might leverage unfixed security vulnerabilities to compromise the host, the attack vector requires complex conditions as the EOL version is still functional. However, the potential impact is moderate due to the possibility of unauthorized access and data breaches.",1.0,1,progressive_hint
75b447f8-5189-4ab9-aa9a-31bf0e935573,"NVT Name: PHP CVE-2019-13224 Use-After-Free Vulnerability - Linux / Summary: PHP is prone to a use-after-free vulnerability in a used
  third-pary library. / Vulnerability Insight: The flaw exists due to a use-after-free in onig_new_deluxe()
  in regext.c of the third-party library Oniguruma 6.9.2 which is used by PHP.

  The attacker provides a pair of a regex pattern and a string, with a multi-byte encoding that gets
  handled by onig_new_deluxe(). / Impact: This flaw allows attackers to potentially cause information
  disclosure, denial of service, or possibly code execution by providing a crafted regular
  expression.",High,"The described vulnerability is a Use-After-Free issue in the Oniguruma library used by PHP, which can potentially lead to information disclosure, denial of service, or even code execution. This vulnerability allows an attacker to provide crafted regular expressions that exploit the flaw, making it remotely exploitable and posing a significant impact on the system's security.",1.0,1,progressive_hint
