id,informacoes_das_colunas,categoria,explicacao,rouge,iteracao,technique_used
349c65a2-d766-4a48-b483-6a9cb294722d,"NVT Name: PHP 5.5.x < 5.5.15 Multiple Use After Free Vulnerabilities (Jul 2014) / Summary: PHP is prone to multiple use after free vulnerabilities. / Vulnerability Insight: An use-after-free error exists in the ext/spl/spl_dllist.c
  file in the SPL component. / Impact: Successful exploitation will allow remote attackers to conduct
  denial of service attacks or possibly have some other unspecified impact.",High,"The PHP 5.5.x < 5.5.15 Multiple Use After Free Vulnerabilities allow remote attackers to conduct denial of service attacks or possibly have other unspecified impacts, which is a significant impact and can be remotely exploited without authentication. This meets the criteria for a high severity level according to the CVSSv3 taxonomy.",1.0,1,self_hint
af2dc81b-b241-4211-a682-5e21996c8350,"NVT Name: PHP 5.x < 5.4.4 Memory Leak Vulnerability / Summary: PHP is prone to a memory leak vulnerability. / Vulnerability Insight: PHP allows passing invalid utf-8 strings via the
  xmlTextWriterWriteAttribute, which are then misparsed by libxml2. This results in memory leak into
  the resulting output. / Impact: [ausente]",Medium,"The PHP memory leak vulnerability allows for the misparsing of invalid utf-8 strings via xmlTextWriterWriteAttribute, leading to a memory leak in the output. While it does not directly impact confidentiality or integrity, the availability of resources can be affected over time due to the memory leak. This vulnerability requires specific input and may not be remotely exploitable without additional conditions, but it still poses a moderate risk.",1.0,1,self_hint
0edcd46d-96d9-4e80-a997-158de2ba41cf,"NVT Name: CPE Inventory / Summary: This routine uses information collected by other routines about
  CPE identities of operating systems, services and applications detected during the scan.

  Note: Some CPEs for specific products might show up twice or more in the output. Background:

  After a product got renamed or a specific vendor was acquired by another one it might happen that
  a product gets a new CPE within the NVD CPE Dictionary but older entries are kept with the older
  CPE. / Vulnerability Insight: [ausente] / Impact: [ausente]",Informational,"The described vulnerability pertains to potential duplicate CPE entries in the NVD CPE Dictionary due to product renaming or acquisitions. This issue does not directly pose a security risk, but rather is a diagnostic data issue related to inventory and summary information. It does not affect confidentiality, integrity, or availability of the Docker container, nor does it provide an attack vector for malicious activities. Therefore, it falls under the Informational severity level according to the CVSSv3 taxonomy.",1.0,1,self_hint
19113fa6-bdda-41a0-9d47-4a9daccf3ee0,"NVT Name: Oracle MySQL Server <= 5.5.51 Security Update (cpuoct2016) - Linux / Summary: Oracle MySQL Server is prone to an unspecified vulnerability. / Vulnerability Insight: The flaw exists due to an unspecified error within the
  'Server:DML' component. / Impact: Successful exploitation of this vulnerability will allow a
  remote authenticated user to cause denial of service conditions.",Medium,"The vulnerability is located in Oracle MySQL Server, which is a component used within a Docker container. The flaw exists due to an unspecified error within the 'Server:DML' component. Successful exploitation of this vulnerability will allow a remote authenticated user to cause denial of service conditions. Although the exact impact and attack complexity are not specified, a remote authenticated user gaining the ability to cause Denial of Service (DoS) is considered a moderate impact in terms of CVSSv3 severity level.",1.0,1,self_hint
3069eaec-c3a0-45fc-bd9b-7aad9974df7a,"NVT Name: OS Detection Consolidation and Reporting / Summary: This script consolidates the OS information detected by several
  VTs and tries to find the best matching OS.

  Furthermore it reports all previously collected information leading to this best matching OS. It
  also reports possible additional information which might help to improve the OS detection.

  If any of this information is wrong or could be improved please consider to report these to the
  referenced community forum. / Vulnerability Insight: [ausente] / Impact: [ausente]",Informational,"The described script does not inherently pose a direct security risk or vulnerability to Docker containers. It consolidates and reports OS information, which is diagnostic data and falls under the category of informational data. While it's essential to ensure that the script is secure and properly configured, it doesn't seem to have a significant impact on confidentiality, integrity, or availability in the container context.",1.0,1,self_hint
254a8ee3-cf9a-4ecf-8a3d-9377e7216dc8,"NVT Name: PHP < 5.6.18, 7.x < 7.0.3 DoS Vulnerability (Jul 2016) - Linux / Summary: PHP is prone to a denial of service (DoS) vulnerability. / Vulnerability Insight: The flaw is due an improper handling of zero-size
  '././@LongLink' files by 'phar_make_dirstream' function in ext/phar/dirstream.c script. / Impact: Successfully exploiting this issue allow remote attackers to
  cause a denial of service (heap memory corruption) or possibly have unspecified other impact.",High,"The vulnerability allows a remote attacker to cause a denial of service (DoS) and potentially have unspecified other impacts. It requires no authentication, and exploitation involves improper handling of zero-size files by the 'phar_make_dirstream' function in ext/phar/dirstream.c script. This vulnerability can lead to heap memory corruption, which is a significant impact and falls under the High severity level according to the CVSSv3 taxonomy.",1.0,1,self_hint
74c4b3f0-eac6-4941-a7a4-ccc3deeb4637,"NVT Name: jQuery 1.2 < 3.5.0 XSS Vulnerability / Summary: jQuery is prone to a cross-site scripting (XSS) vulnerability in
  jQuery.htmlPrefilter and related methods. / Vulnerability Insight: Passing HTML from untrusted sources - even after sanitizing it -
  to one of jQuery's DOM manipulation methods (i.e. .html(), .append(), and others) may execute
  untrusted code. / Impact: [ausente]",Medium,"The jQuery XSS vulnerability allows an attacker to inject malicious code into HTML content, which can be executed when manipulating the DOM using jQuery's methods like .html(), .append(), etc. In a container context, this could potentially lead to data leakage or unauthorized access if an application within the container uses vulnerable versions of jQuery and handles user-supplied input unsafely. However, it requires user interaction or specific conditions to exploit, making it a medium severity vulnerability.",1.0,1,self_hint
545c27c7-e8b0-4a08-b064-ac8664187f87,"NVT Name: PHP < 7.2.29 Multiple Vulnerabilities (Mar 2020) - Linux / Summary: PHP is prone to multiple vulnerabilities. / Vulnerability Insight: PHP is prone to multiple vulnerabilities:

  - Use-of-uninitialized-value in exif (CVE-2020-7064)

  - get_headers() silently truncates after a null byte (CVE-2020-7066) / Impact: [ausente]",Medium,"The vulnerabilities CVE-2020-7064 (Use-of-uninitialized-value in exif) and CVE-2020-7066 (get_headers() silently truncates after a null byte) can potentially allow an attacker to execute arbitrary code or cause denial of service if exploited. While the exact impact might not be specified, the potential for partial unauthorized access makes this vulnerability a medium severity level according to the CVSSv3 taxonomy.",1.0,1,self_hint
bfa8c31d-a7cf-47c3-9cab-d606b4eaef91,"NVT Name: Elasticsearch End of Life (EOL) Detection / Summary: The Elasticsearch version on the remote host has reached
  the End of Life (EOL) and should not be used anymore. / Vulnerability Insight: [ausente] / Impact: An EOL version of Elasticsearch is not receiving any security
  updates from the vendor. Unfixed security vulnerabilities might be leveraged by an attacker to
  compromise the security of this host.",Critical,"An End of Life (EOL) Elasticsearch version is not receiving any security updates from the vendor, leaving unpatched security vulnerabilities that can be potentially exploited by an attacker to compromise the host's security. This situation poses a significant risk to confidentiality, integrity, and availability, as it allows for remote code execution without authentication.",1.0,1,self_hint
75b447f8-5189-4ab9-aa9a-31bf0e935573,"NVT Name: PHP CVE-2019-13224 Use-After-Free Vulnerability - Linux / Summary: PHP is prone to a use-after-free vulnerability in a used
  third-pary library. / Vulnerability Insight: The flaw exists due to a use-after-free in onig_new_deluxe()
  in regext.c of the third-party library Oniguruma 6.9.2 which is used by PHP.

  The attacker provides a pair of a regex pattern and a string, with a multi-byte encoding that gets
  handled by onig_new_deluxe(). / Impact: This flaw allows attackers to potentially cause information
  disclosure, denial of service, or possibly code execution by providing a crafted regular
  expression.",High,"The PHP CVE-2019-13224 Use-After-Free Vulnerability allows attackers to potentially cause information disclosure, denial of service, or possibly code execution by providing a crafted regular expression. This vulnerability can be exploited remotely and does not require authentication, making it a high severity issue.",1.0,1,self_hint
