Response,Processed,Category,Explanation,id,technique_used
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,306b7c0f-b614-4fe8-93a0-7ab5645781eb,zeroshot
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,6929e48a-9ac4-47e2-9b8f-91a4db3b05b9,zeroshot
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,54ae23cd-fbc7-4f8a-9d6c-60a6462d3030,zeroshot
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,8e61207d-677c-42b4-aaf9-4f92666a0239,zeroshot
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,79158e9c-459b-4005-a4a8-3442280c5fbe,zeroshot
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,95622ad0-e9a0-4a8c-9fa8-bef97849d038,zeroshot
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,a99c2c04-2dd0-4565-ab66-1542fab74c0a,zeroshot
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,edcd277e-3044-42f1-886a-94311e9afac6,zeroshot
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,bf4b9ba1-6465-44f2-a996-7a6b14740375,zeroshot
Unknown,"{'category': 'UNKNOWN', 'explanation': 'unknown'}",UNKNOWN,unknown,d4762dbe-fb80-46f3-bb53-9357016c8fb7,zeroshot
