NVT Name,Summary,Solution,Affected Software/OS,target,id
PHP End of Life (EOL) Detection - Linux,"The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.","Update the PHP version on the remote host to a still supported
  version.",,VendorFix,306b7c0f-b614-4fe8-93a0-7ab5645781eb
"PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux",PHP is prone to multiple vulnerabilities.,"Update to version 5.5.37, 5.6.23 or later.","PHP prior to version 5.5.37 and 5.6.x prior to 5.6.23 on
  Linux.",VendorFix,6929e48a-9ac4-47e2-9b8f-91a4db3b05b9
PHP Multiple Vulnerabilities (Feb 2019) - Linux,PHP is prone to multiple vulnerabilities.,"Update to version 5.6.40, 7.1.16, 7.2.14, 7.3.1 or later.","PHP versions before 5.6.40, 7.x before 7.1.26, 7.2.x before
  7.2.14 and 7.3.x before 7.3.1.",VendorFix,54ae23cd-fbc7-4f8a-9d6c-60a6462d3030
"PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"Update to version 8.1.29, 8.2.20, 8.3.8 or later.","PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.",VendorFix,8e61207d-677c-42b4-aaf9-4f92666a0239
"PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux",PHP is prone to a denial of service (DoS) vulnerability.,"Update to version 5.6.29, 7.0.14 or later.",PHP versions prior to 5.6.29 and 7.0.x prior to 7.0.14.,VendorFix,79158e9c-459b-4005-a4a8-3442280c5fbe
PHP < 5.6.7 DoS Vulnerability - Linux,PHP is prone to a denial of service (DoS) vulnerability.,Update to version 5.6.7 or later.,PHP prior to version 5.6.7 on Linux.,VendorFix,95622ad0-e9a0-4a8c-9fa8-bef97849d038
"PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux",PHP is prone to multiple vulnerabilities.,"Update to version 7.4.33, 8.0.25, 8.1.12 or later.","PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and
  8.1.x through 8.1.11.",VendorFix,a99c2c04-2dd0-4565-ab66-1542fab74c0a
PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability,PHP is prone to a denial of service (DoS) vulnerability.,"No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.",PHP versions through 5.6.27 and 7.0.x through 7.0.12.,WillNotFix,edcd277e-3044-42f1-886a-94311e9afac6
PHP <= 7.1.5 Multiple DoS Vulnerabilities,"PHP is prone to multiple denial of service (DoS)
  vulnerabilities.","No known solution was made available for at least one year
  since the disclosure of this vulnerability. Likely none will be provided anymore. General solution
  options are to upgrade to a newer release, disable respective features, remove the product or
  replace the product by another one.",PHP versions through 7.1.5.,WillNotFix,bf4b9ba1-6465-44f2-a996-7a6b14740375
"PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux",PHP is prone to multiple vulnerabilities.,"Update to version 8.0.30, 8.1.22, 8.2.9 or later.","PHP prior to version 8.0.30, 8.1.x prior to 8.1.22 and 8.2.x
  prior to 8.2.9.",VendorFix,d4762dbe-fb80-46f3-bb53-9357016c8fb7
