NVT Name,Summary,Affected Software/OS,target,id
PHP End of Life (EOL) Detection - Linux,"The PHP version on the remote host has reached the end of life
  (EOL) and should not be used anymore.",,VendorFix,306b7c0f-b614-4fe8-93a0-7ab5645781eb
"PHP < 5.5.37, 5.6.x < 5.6.23 Multiple Vulnerabilities (Aug 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.5.37 and 5.6.x prior to 5.6.23 on
  Linux.",VendorFix,6929e48a-9ac4-47e2-9b8f-91a4db3b05b9
PHP Multiple Vulnerabilities (Feb 2019) - Linux,PHP is prone to multiple vulnerabilities.,"PHP versions before 5.6.40, 7.x before 7.1.26, 7.2.x before
  7.2.14 and 7.3.x before 7.3.1.",VendorFix,54ae23cd-fbc7-4f8a-9d6c-60a6462d3030
"PHP < 8.1.29, 8.2.x < 8.2.20, 8.3.x < 8.3.8 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 8.1.29, version 8.2.x through 8.2.19 and
  8.3.x through 8.3.7.",VendorFix,8e61207d-677c-42b4-aaf9-4f92666a0239
"PHP < 5.6.29, 7.0.x < 7.0.14 DoS Vulnerability - Linux",PHP is prone to a denial of service (DoS) vulnerability.,PHP versions prior to 5.6.29 and 7.0.x prior to 7.0.14.,VendorFix,79158e9c-459b-4005-a4a8-3442280c5fbe
PHP < 5.6.7 DoS Vulnerability - Linux,PHP is prone to a denial of service (DoS) vulnerability.,PHP prior to version 5.6.7 on Linux.,VendorFix,95622ad0-e9a0-4a8c-9fa8-bef97849d038
"PHP < 7.4.33, 8.0.x < 8.0.25, 8.1.x < 8.1.12 Security Update - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 7.4.33, version 8.0.x through 8.0.24 and
  8.1.x through 8.1.11.",VendorFix,a99c2c04-2dd0-4565-ab66-1542fab74c0a
PHP <= 5.6.27 / 7.0.x <= 7.0.12 DoS Vulnerability,PHP is prone to a denial of service (DoS) vulnerability.,PHP versions through 5.6.27 and 7.0.x through 7.0.12.,WillNotFix,edcd277e-3044-42f1-886a-94311e9afac6
PHP <= 7.1.5 Multiple DoS Vulnerabilities,"PHP is prone to multiple denial of service (DoS)
  vulnerabilities.",PHP versions through 7.1.5.,WillNotFix,bf4b9ba1-6465-44f2-a996-7a6b14740375
"PHP < 8.0.30, 8.1.x < 8.1.22, 8.2.x < 8.2.9 Security Update - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 8.0.30, 8.1.x prior to 8.1.22 and 8.2.x
  prior to 8.2.9.",VendorFix,d4762dbe-fb80-46f3-bb53-9357016c8fb7
"PHP < 7.4.28, 8.0.x < 8.0.16, 8.1.x < 8.1.3 Security Update (Feb 2022) - Linux",PHP released new versions which include a security fix.,"PHP prior to version 7.4.28, 8.0.x through 8.0.15 and 8.1.x
  through 8.1.2.",VendorFix,ad8d01ae-138a-49c4-99dc-12fd7aebd15b
"PHP < 8.1.31, 8.2.x < 8.2.26, 8.3.x < 8.3.14 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"PHP versions prior to 8.1.31, 8.2.x prior to 8.2.26 and 8.3.x
  prior to 8.3.14.",VendorFix,f142469b-84b1-4e02-a1b7-c20837e142b7
"PHP < 8.1.32, 8.2.x < 8.2.28 Multiple Vulnerabilities - Linux",PHP is prone to multiple vulnerabilities.,"PHP versions prior to 8.1.32, and 8.2.x prior to 8.2.28.",VendorFix,b75bffd7-5040-4623-a28f-106304570817
Apache HTTP Server 2.4.0 - 2.4.55 HTTP Request Smuggling Vulnerability - Linux,"Apache HTTP Server is prone to a HTTP request smuggling
  vulnerability.",Apache HTTP Server versions 2.4.0 through 2.4.55.,VendorFix,b0c2028c-2da4-4bfb-948a-28cd5b2f777f
Apache HTTP Server 2.4.0 - 2.4.46 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,Apache HTTP Server versions 2.4.0 to 2.4.46 on Linux.,VendorFix,b74936b4-8971-438b-8cd4-a680718ad81c
"PHP < 7.1.33, 7.2.x < 7.2.24, 7.3.x < 7.3.11 RCE Vulnerability - Version Check","PHP is prone to a remote code execution (RCE) vulnerability in
  certain nginx + php-fpm configurations.","PHP prior to version 7.1.33, 7.2.x prior to 7.2.24 and 7.3.x
  prior to 7.3.11.",VendorFix,0e2a315b-77a0-449d-a5d7-7e418fde5d87
PHP < 7.0.12 RCE / DoS Vulnerability - Linux,"PHP is prone to a remote code execution (RCE) or denial of
  service (DoS) vulnerability.",PHP versions prior to 7.0.12.,VendorFix,e29b87da-8260-4db5-b3df-18d02127b080
Apache HTTP Server < 2.4.49 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,Apache HTTP Server version 2.4.48 and prior.,VendorFix,ae392398-7569-4f28-947e-dabad666dccc
Apache HTTP Server < 2.4.54 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,Apache HTTP Server version 2.4.53 and prior.,VendorFix,6cb53f2d-9370-4a0d-9445-96a5d50d86a6
Apache HTTP Server < 2.4.60 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,Apache HTTP Server version 2.4.59 and prior.,VendorFix,6754fdfa-677f-4ccd-8000-fbfbd27def6c
"PHP < 5.6.31, 7.0.x < 7.0.21, 7.1.x < 7.1.7 Multiple Vulnerabilities (Jul 2017) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.6.31, 7.0.x prior to 7.0.21 and 7.1.x
  prior to 7.1.7.",VendorFix,e17a8aaf-3565-4393-a9a9-6aa3ee90610e
"PHP < 5.6.30, 7.x < 7.0.15, 7.1.x < 7.1.1 Multiple Vulnerabilities (Jan 2017) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.6.30, 7.x prior to 7.0.15 and 7.1.x
  prior to 7.1.1.",VendorFix,021c3dc5-416e-4cf8-973e-20587a72c7bd
Apache HTTP Server <= 2.4.51 Buffer Overflow Vulnerability - Linux,"Apache HTTP Server is prone to a buffer overflow
  vulnerability.",Apache HTTP Server versions through 2.4.51.,VendorFix,3850b34c-ca4d-4b26-ac2a-e6d789b69000
Apache HTTP Server <= 2.4.52 Multiple Vulnerabilities - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,Apache HTTP Server version 2.4.52 and prior.,VendorFix,3fb53edc-f0c6-4cb8-89c5-007973b44524
"PHP < 5.6.28, 7.x < 7.0.13 Multiple Vulnerabilities (Nov 2016) - Linux",PHP is prone to multiple vulnerabilities.,PHP prior to version 5.6.28 and 7.x prior to 7.0.13.,VendorFix,3b9d705c-f9c6-4d17-ae9a-1a0f2bca4a1b
Apache HTTP Server Multiple Vulnerabilities (Apr 2018) - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"Apache HTTP Server versions from 2.4.1 to
  2.4.4, 2.4.6, 2.4.7, 2.4.9, 2.4.10, 2.4.12, 2.4.16 to 2.4.18, 2.4.20, 2.4.23,
  2.4.25 to 2.4.29.",VendorFix,11c47c66-68a3-4231-adba-ff5b85d8f019
"PHP < 5.6.27, 7.x < 7.0.12 Multiple DoS Vulnerabilities (Oct 2016) - Linux","PHP is prone to multiple denial of service (DoS)
  vulnerabilities.",PHP prior to version 5.6.27 and 7.0.x through 7.0.11.,VendorFix,15cb7d65-4d51-409e-91e0-37feaab1847c
Apache HTTP Server Multiple Vulnerabilities (Jun 2017) - Linux,Apache HTTP Server is prone to multiple vulnerabilities.,"Apache HTTP Server 2.2.x before 2.2.33 and
  2.4.x before 2.4.26.",VendorFix,95c02f91-d292-4735-bad5-82e786e15cf1
"PHP < 5.6.26, 7.x < 7.0.11 Multiple Vulnerabilities (Sep 2016) - Linux",PHP is prone to multiple vulnerabilities.,"PHP prior to version 5.6.26 and 7.x prior to 7.0.11 on
  Linux.",VendorFix,b025d987-ef5d-4afa-9919-1322bf18fbbb
PHP < 5.6.26 DoS Vulnerability - Linux,PHP is prone to a denial of service (DoS) vulnerability.,PHP prior to version 5.6.26 on Linux.,VendorFix,ba00eab7-a5d0-4ec3-9be6-bb92c35cd0fe
